compl_total1,compl_total2,compl_total3,compl_total4,compl_total5,compl_total6,compl_total7,compl_total8,compl_total9,compl_total10,compl_total11,compl_total12,compl_total13,compl_total14,compl_total15,compl_total16,compl_total17,compl_total18,compl_total19,compl_total20,compl_total21,compl_total22,compl_total23,compl_total24,compl_total25,compl_total26,compl_total27,compl_total28,compl_total29,compl_total30,compl_total31,compl_total32,compl_total33,compl_total34,compl_total35,compl_total36,compl_total37,compl_total38,compl_total39
12,0.21,7,5.19305555555556,0.290451992511367,0.085061028021317,,0.9035,0.0931163285626224,7,1.03861111111111,3,0.2325,1,0.209731329690347,24.5507716,,0.21,75.3055555555556,2.91666666666667,1.19444444444444,1.75,18.8333333333333,,80.2777777777778,4.05555555555556,10.1666666666667,4.97222222222222,0.527777777777778,,66.6666666666667,25,0,8.33333333333333,0,,0.898980881692673,0.0865509259259259,
14,0.243611111111111,8,5.375,0.349723145071982,0.115699342775155,,1.12586571428571,0.116852519248711,8,1.25416666666667,4,0.321111111111111,1,0.243342440801457,29.2155345,,0.243611111111111,71.5,2.80555555555556,2.86111111111111,0.555555555555556,22.2777777777778,,77.8611111111111,2.16666666666667,12.3611111111111,6.11111111111111,1.5,,42.8571428571429,57.1428571428571,0,0,0,,0.910399071698809,0.0895833333333333,
8,0.0986111111111111,10,5.25208333333333,0.117030965391621,0.0168125697006564,,1.39619714285714,0.0922212090119359,10,1.22,5,0.222777777777778,1,0.098342440801457,14.9141202,,0.0986111111111111,83.8888888888889,4.27777777777778,4.61111111111111,0.972222222222222,6.25,,82.7222222222222,5.38888888888889,7.08333333333333,2.55555555555556,2.25,,50,50,0,0,0,,0.9130711802449,0.0875347222222222,
13,0.194444444444444,10,5.50128205128205,0.334699158938969,0.0815335687176845,,1.19952714285714,0.128133630569287,10,1.28805555555556,4,0.374444444444444,1,0.194175774134791,27.0148253,,0.194444444444444,76.8055555555556,3.41666666666667,1.58333333333333,0.555555555555556,17.6388888888889,,80.8888888888889,1.83333333333333,5.33333333333333,5.41666666666667,6.52777777777778,,23.0769230769231,69.2307692307692,0,0,7.69230769230769,,0.952348210752992,0.0916880341880342,
12,0.213055555555556,10,5.2125,0.3214848143982,0.0969924580032882,,1.83407714285714,0.135765508470954,10,1.23472222222222,7,0.425555555555556,1,0.212786885245901,25.8707469,,0.213055555555556,75,0.888888888888889,3.94444444444444,1.47222222222222,18.6944444444444,,78.3611111111111,6.86111111111111,6.11111111111111,2.11111111111111,6.55555555555556,,66.6666666666667,33.3333333333333,0,0,0,,0.821334317595332,0.086875,
12,0.193333333333333,9,5.19027777777778,0.244976292616844,0.0624953165566884,,1.21567182857143,0.119849339489684,9,1.23027777777778,4,0.328611111111111,1,0.193064663023679,25.8139818,,0.193333333333333,76,4.16666666666667,2.16666666666667,0.555555555555556,17.1111111111111,,79.9166666666667,5.77777777777778,4.25,4.05555555555556,6,,66.6666666666667,16.6666666666667,8.33333333333333,0,8.33333333333333,,0.863936670371512,0.0865046296296296,
11,0.2025,10,5.27424242424242,0.297122462636627,0.109194866505336,,1.63740714285714,0.141608086417315,10,1.24527777777778,6,0.440277777777778,1,0.202231329690346,23.5985323,,0.2025,76.1666666666667,2.86111111111111,2.13888888888889,0.555555555555556,18.2777777777778,,78.3611111111111,7.22222222222222,2.27777777777778,5.22222222222222,6.91666666666667,,54.5454545454545,27.2727272727273,18.1818181818182,0,0,,0.837071363059098,0.0879040404040404,
13,0.250833333333333,8,5.36153846153846,0.380742049469965,0.135458073815475,,1.56374571428571,0.132834809495522,8,1.25777777777778,6,0.398333333333333,1,0.25056466302368,27.9236428,,0.250833333333333,70.1666666666667,2.86111111111111,3.86111111111111,0.555555555555556,22.5555555555556,,73.8888888888889,8.13888888888889,8.25,5.94444444444444,3.77777777777778,,46.1538461538462,53.8461538461538,0,0,0,,0.846223503943291,0.0893589743589744,
13,0.175,10,5.37179487179487,0.321428571428571,0.0638891092862211,,1.61513714285714,0.121612946792523,10,1.26,6,0.356666666666667,1,0.174731329690347,28.5380367,,0.175,77.1388888888889,4.41666666666667,3.13888888888889,0.555555555555556,14.75,,83.25,3.22222222222222,1.80555555555556,5.25,6.47222222222222,,38.4615384615385,61.5384615384615,0,0,0,,0.917003501034474,0.0895299145299145,
8,0.14,11,5.33541666666667,0.19375,0.0356308653240061,,1.68537285714286,0.126988960601661,11,1.24444444444444,6,0.373055555555556,1,0.139731329690346,16.1785817,,0.14,82.8055555555556,1.88888888888889,2.13888888888889,1.22222222222222,11.9444444444444,,84.8611111111111,2.80555555555556,2.52777777777778,2.83333333333333,6.97222222222222,,37.5,37.5,12.5,12.5,0,,0.908655120739563,0.0889236111111111,
